V, Td, I
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
288.0, 303.656569, 6.89300412e-06
287.0, 303.656569, 6.89300412e-06
287.0, 303.656569, 6.89300412e-06
287.0, 303.656569, 6.89300412e-06
287.0, 303.656569, 6.89300412e-06
287.0, 303.656569, 6.89300412e-06
286.0, 303.656569, 6.89300412e-06
286.0, 303.656569, 6.89300412e-06
286.0, 303.656569, 6.89300412e-06
286.0, 303.656569, 6.89300412e-06
285.0, 303.656569, 6.89300412e-06
285.0, 303.656569, 6.89300412e-06
285.0, 303.656569, 6.89300412e-06
285.0, 303.656569, 6.89300412e-06
285.0, 303.656569, 6.89300412e-06
284.0, 303.656569, 6.89300412e-06
284.0, 303.656569, 6.89300412e-06
284.0, 303.656569, 6.89300412e-06
284.0, 303.656569, 6.89300412e-06
284.0, 303.656569, 6.89300412e-06
284.0, 303.656569, 6.89300412e-06
283.0, 303.656569, 6.89300412e-06
283.0, 303.656569, 6.89300412e-06
283.0, 303.656569, 6.89300412e-06
283.0, 303.656569, 6.89300412e-06
283.0, 303.656569, 6.89300412e-06
283.0, 303.656569, 6.89300412e-06
282.0, 303.656569, 6.89300412e-06
282.0, 303.656569, 6.89300412e-06
282.0, 303.656569, 6.89300412e-06
282.0, 303.656569, 6.89300412e-06
282.0, 303.656569, 6.89300412e-06
281.0, 303.656569, 6.89300412e-06
281.0, 303.656569, 6.89300412e-06
281.0, 303.656569, 6.89300412e-06
281.0, 303.656569, 6.89300412e-06
280.0, 303.656569, 6.89300412e-06
280.0, 303.656569, 6.89300412e-06
280.0, 303.656569, 6.89300412e-06
280.0, 303.656569, 6.89300412e-06
280.0, 303.656569, 6.89300412e-06
279.0, 303.656569, 6.89300412e-06
279.0, 303.656569, 6.89300412e-06
279.0, 303.656569, 6.89300412e-06
279.0, 303.656569, 6.89300412e-06
279.0, 303.656569, 6.89300412e-06
279.0, 303.656569, 6.89300412e-06
278.0, 303.656569, 6.89300412e-06
278.0, 303.656569, 6.89300412e-06
278.0, 303.656569, 6.89300412e-06
278.0, 303.656569, 6.89300412e-06
278.0, 303.656569, 6.89300412e-06
278.0, 303.656569, 6.89300412e-06
278.0, 303.656569, 6.89300412e-06
277.0, 303.656569, 6.89300412e-06
277.0, 303.656569, 6.89300412e-06
277.0, 303.656569, 6.89300412e-06
277.0, 303.656569, 6.89300412e-06
277.0, 303.656569, 6.89300412e-06
277.0, 303.656569, 6.89300412e-06
277.0, 303.656569, 6.89300412e-06
277.0, 303.656569, 6.89300412e-06
277.0, 303.656569, 6.89300412e-06
276.0, 308.188757, 6.99588477e-06
275.0, 308.188757, 6.99588477e-06
276.0, 303.656569, 6.89300412e-06
276.0, 303.656569, 6.89300412e-06
276.0, 303.656569, 6.89300412e-06
276.0, 303.656569, 6.89300412e-06
276.0, 303.656569, 6.89300412e-06
276.0, 303.656569, 6.89300412e-06
275.0, 308.188757, 6.99588477e-06
276.0, 303.656569, 6.89300412e-06
275.0, 308.188757, 6.99588477e-06
275.0, 308.188757, 6.99588477e-06
276.0, 303.656569, 6.89300412e-06
275.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
275.0, 303.656569, 6.89300412e-06
275.0, 303.656569, 6.89300412e-06
274.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
274.0, 308.188757, 6.99588477e-06
275.0, 303.656569, 6.89300412e-06
